"premios","pelicula_id"
"<li> Mejor película, Mejor Director, Mejor Montaje, Mejor Música Original, Mejor Interpretación secundaria femenina (Antonia Zegers), Premios Pedro Sienna, 2016.",3011
"<li> Premio Titra a la Distribución , Mejor Film de Ficción, International Film & Television Festival Cinema Tout Ecran, Genova, Italia, 2005.",64
"<li> Mejor Film de Ficción Grand Prix Coup de Cour. FIPRESCI Award. Festival de Cine de Toulouse, Francia, 2006.",64
"<li> Premio Signis, Mejor Film de Ficción, Festival de Cine Independiente de Buenos Aires, Argentina, 2006.",64
"<li> Mejor Montaje, Providence International Film Festival, E.E.U.U., 2006.",64
"<li> Premio Especial del Jurado, Mostra de Leida International Film Festival, España, 2006. ",64
"<li> Mejor Película, Mejor Actriz secundaria, Mejor Montaje, Efectos especiales, mejor maquillaje, Premios Pedro Sienna 2008, Chile.",55
"<li> Mejor actor, Premio Altazor 2008, Chile.",55
"<li> Mejor Actriz, Marcela Osorio, 9° Festival Iberoamericano de Cine de Santa Cruz, Bolivia 2007.",56
"<li> Work in Progress Festival Internacional de Cine de Rotterdam, Países Bajos.",55
"<li> Work in Progress Festival Internacional de Cine de Berlín, Alemania.",55
"<li> Mención Especial 29°  Festival Internacional del Nuevo Cine Latinoamericano de La Habana, Cuba, 2007.",56
"<li> Mejor Director, 22° Festival de Cine Latino Americano de Trieste, Italia 2007.",56
"<li> Premio TVE Cine en Construcción Festival Internacional de Cine San Sebastián, España, 2006.",56
"<li> Mención Especial del Jurado, Premio Pedro Sienna, Chile 2007.",61
"<li> Mejor Largometraje en la Sección “Finestre sul mondo”, Festival Cinema Africano, Asia y América Latina de Milán, Italia, 2007.",61
"<li> Mejor Actriz a María José Pargas, Festival Internacional de Cine de Viña del Mar, Chile, 2006.",61
"<li> Mejor Film de Ficción, Premio a la Distribución. L´Alternative of Barcelona International Film Festival, España, 2005.",64
"<li> Mejor Efectos Especiales, Mejor Dirección de Fotografía, Mejor Montaje, Mejor Música Original, Mejor Dirección de Arte, Premios Pedro Sienna, Chile, 2007.",62
"<li> Premio del Público, Mejor Película Chilena, Festival Caverna Benavides, Lebu, Chile, 2006.",63
"<li> Mejor Maquillaje, Mejor Diseño de Vestuario, Premios Pedro Sienna, Chile 2007.",63
"<li> Mejor Actor Secundario, Festival Internacional de Cine de Viña del Mar, Chile, 2005.",64
"<li> Mejor Actor, Mejor Guión, Premios Pedro Sienna, 2007.",66
"<li> Mejor Guión, Tulipanes Latino Art & Film Festival, USA 2007.",66
"<li> Mejor Guión, 9° Festival Iberoamericano de Cine de Santa Cruz, Bolivia 2007.",66
"<li> Premio Especial de la Juventud de Santa Cruz, 9° Festival Iberoamericano de Cine de Santa Cruz, Bolivia 2007.",66
"<li> Mejor Actor, Jaime Vadell, 47° Festival Internacional de Cine y TV. de Cartagena de Indias , Colombia.  2007.",66
"<li> Premio Sarasvati, 5º Festival Internacional de Cine de Bali, Indonesia, 2007.",66
"<li> Selección Oficial de Chile al GOYA a la Mejor Película de Habla Hispana, Madrid, España 2007.",66
"<li> Selección Oficial de Chile al OSCAR a la Mejor Película Extranjera, Los Ángeles EE.UU 2007.",66
"<li> Selección Oficial de Chile a los Premios Ariel a la Mejor Película Iberoamericana, México 2008.",66
"<li> Mejor Actor, Festival Internacional de Cine de Cartagena, Colombia, 2007.",66
"<li> Mejor Guión, Tercer Coral. Festival del Nuevo Cine Latinoamericano de La Habana Cuba 2005.",75
"<li> Mejor Largometraje, Premio Casa de las Américas, Mejor Largometraje Premio Caminos.",75
"<li> Mejor Película, Mejor Actriz, Festival Internacional de Cine de Viña del Mar, Chile. 2005.",75
"<li> Premio FIPRESCI, Federación Internacional de la Prensa Cinematográfica, Festival Internacional de Cine Festroia de Setúbal, Portugal, 2006.",75
"<li> Premio del Público, Festival Latinoamericano de Cine de Toulouse, Francia, 2006.",75
"<li> Mejor Película Latinoamericana, Festival Internacional de Cine de Montevideo. Uruguay, 2006.",75
"<li> Premio Especial del Jurado, Festival Internacional de Cine de Cartagena, Colombia, 2006.",75
"<li> Mejor Película. Asociación de Críticos Cinematográficos, Festival Cinesul, Río Janeiro, Brasil, 2006.",75
"<li> Mejor Guión, Mejor Actriz, Festival de Cine de Lima, Perú, 2006.",75
"<li> Mejor Película, Festival de Cine ICARO, Guatemala, 2006.",75
"<li> Premio de la Prensa y de la Crítica, Festival Iberoamericano de Cine Cero Latitud, Quito, Ecuador, 2006. ",75
"<li> Mejor dirección, Festival Internacional de Cine de Viña del Mar, Chile, 2009.",70
"<li> Mejor Película, Festival Internacional de Cine de Valladolid, España, 2005.",75
"<li> Premio del público, Festival de Cine de Santiago (Sanfic), Chile, 2009.",94
"<li> Mejores Efectos Especiales Semana de Cine Fantástico de Málaga, España, 2002.",114
"<li> Mejor Película, Festival Fantasporto 2003.",114
"<li> Mejor Actor, Mejor Efectos Especiales, Festival de Cine de Horror de Los Angeles, E.E.U.U., 2002.",114
"<li> Premio Paoa, Aldo Francia a la Mejor Dirección - Festival Internacional de Cine de Viña del Mar.",126
"<li> Premio del Público - Festival Internacional de Cine de Viña del Mar. ",126
"<li> Premio del Jurado Joven - Festival Internacional de Cine de Viña del Mar.",126
"<li> Premio Especial del jurado para Carolina Varleta, Festival Internacional de Cine de Viña del Mar. ",126
"<li> Premio de la SCD a la Mejor música, Eduardo Caces, Festival Internacional de Cine de Viña del Mar, 2008.",126
"<li> Tulipán de Oro a la mejor película en la sección internacional de la 28 edición del Festival de Cine de Estambul, Turquía, 2009.",141
"<li> Premio de la Asociación Holandesa de Críticos, Festival de Cine de Rótterdam, 2009.",141
"<li> Premio del Público, Festival de Cine Rapa Nui, 2009. ",123
"<li> Premio Mejor Guión, Festival de Cine Rapa Nui, 2009.",123
"<li> Premio del Público, Festival Internacional de cine Mannheim Heidelberg, Alemania.",126
"<li> Ganadora Premio FICCO como mejor película en V Festival Internacional de Cine Contemporáneo de Ciudad de México, 2008.",127
"<li> Ganadora Premio Especial del jurado, DAUM, Corea, 2008.",127
"<li> Premio del público a la mejor película nacional, Festival Internacional de Cine de Viña del Mar, 2008. ",135
"<li> Ganadora Premio FIPRESCI en XXXVII Festival Internacional de Cine de Rótterdam, Holanda, 2008.",127
"<li> Premio de la Prensa Especializada al Mejor Largometraje Nacional, Festival Internacional de Cine de Viña del Mar,  2008.",135
"<li> Gran Paoa a la Mejor Película Nacional y Mejor Actor Protagónico (Nacional) para Marcial Tagle, Festival Internacional de Cine de Viña del Mar, 2008. ",130
"<li> Premio Mejor Película Austin Fantastic Fest, 2007.",132
"<li> Premio del público Festival Internacional de Cine de Valdivia, 2008.",132
"<li> Premio Jurado Joven al Mejor Largometraje Nacional, Festival Internacional de Cine de Viña del Mar, 2008.",135
"<li> Premio a la  Mejor Película, Festival de Cine de Rapa Nui, 2009.",141
"<li> Mejor Documental Chile, Premio Altazor, 2007.",136
"<li> Mejor Fotografía, Festival de Cine de Valparaíso 2007.",136
"<li> Premio Especial del Jurado, fantastic Fest U.S.A., 2008",137
"<li> Mención Especial del jurado, Festival Internacional de Cine de Valdivia, 2007.",139
"<li> Premio de la Crítica, Festival Internacional de Cine de Valdivia, 2007. ",139
"<li> Premio al Mejor Actor para Alfredo Castro, Altazor 2009.",141
"<li> Mejor película, Tulipanes Latino Art & Film Festival, Michigan, EE.UU., 2008.",145
"<li> Premio del público, Festival Internacional de Cine de Ourense, España, 2008.",145
"<li> Mejor Película, Mejor Dirección, Mejor Actriz, Mejor Guión, Mejor Montaje y Mejor Música Original, Premios Pedro Sienna, Chile, 2009.",147
"<li> Mejor Dirección, Mejor Guión, Mejor Actriz, Premios Altazor, Chile, 2009.",147
"<li> Mejor Película, Festival Iberoamericano de Festival Cine de Bolivia, 2009.",147
"<li> Premio del público, San Diego Latin Film Festival, EE.UU., 2008.",145
"<li> Mejor Película, Festival Iberoamericano de Cine de Huelva, España, 2008.",147
"<li> Goya a la Mejor Película Hispanoamericana, Academia de las Artes y las Ciencias Cinematográficas de España, España, 2009.",147
"<li> Mejor actriz, mejor actor, Festival de Cine de Biarritz, Francia, 2008.
",147
"<li> Premio Especial del Jurado, Festival de Cine de Bangkok, Tailandia, 2008.",154
"<li> Mejor Ópera Prima y Premio Especial del Jurado, Festival de Trieste, Italia, 2008.",154
"<li> Festival Internacional de Cine Documental Punto de Vista de Navarra, 2008.",154
"<li> Work in progress, Festival de Cine de Valdivia, Chile, 2007.",152
"<li> Premio especial del jurado, Festival de Cine de Locarno, Suiza, 2008.",154
"<li> Mejor película, Festival Internacional de Cine de Viña del Mar, Chile, 2009.",245
"<li> Premio Movie City, Festival Internacional de Cine de Valdivia, Chile, 2009.",262
"<li> Premio Especial del Jurado, Festival Internacional de Documentales de Santiago, Santiago, Chile, 2009.",262
"<li> Premio Pedro Sienna al mejor mediometraje documental, Chile, 2007.",289
"<li> Premio Pedro Sienna al Mejor Largometraje Documental, Chile, 2007.",324
"<li> Mejor documental, primer Festival de Cine Social de La Pintana, Chile, 2007.",324
"<li> Mención del Jurado, Festival DocsDF, México, 2007.",324
"<li> Mención Especial del Jurado FEISAL Festival de Cine de Guadalajara, México, 2007.",324
"<li> Premio Altazor al Mejor Documental, Chile, 2008.",321
"<li> Mejor Documental, Festival de Cine Africano, Asiático y Latinoamericano de Milán, Italia, 2007.",324
"<li> Mejor Documental, Mejor Investigación, Festival de Cine de Valparaíso, Chile, 2007.",324
"<li> Mejor documental experimental, Pärnu International Documentary and Anthropology Film Festival, Estonia, 2010.",343
"<li> Mención especial del jurado, Festival Internacional de Cine de Viña del Mar, Chile, 2010.",343
"<li> Mejor ópera prima, Festival de Cine Latinoamericano de Trieste, 2010.",345
"<li> Mejor Largometraje de ficción Centroamericano, Festival de Cine Icaro de Cine y Video de Centroamérica, Guatemala.",358
"<li> Premio del público, Mejor corto internacional, Florida Film Festival, 2015",2785
"<li> Premio IndieJunior, IndieLisboa International Independent Film Festival, Portugal, 2015.",2785
"<li> Premio del jurado, RiverRun International Film Festival, EEUU, 2015.",2785
"<li> Mejor elenco, Festival de Cine B, Chile, 2010.",635
"<li> Mejor película, Reconstres du Cinemá Sud- Americain de Marsella, Francia, 2010.<br>
<li> Mejor película documental, San Diego Latin Film Festival, Estados Unidos, 2010.
<li> Mejor documental, Mostra de Cinema Llatinoamericà de Catalunya, España, 2010.
<li> Premio del jurado al mejor documental y premio del público, Festival de Cine Latinoamericano de Biarritz, Francia, 2009.",731
"<li> Segundo premio coral, mejor guión, actor, actriz, premio FIPRESCI, Festival Internacional del Nuevo Cine Latinoamericano de La Habana, 2010.<br>
<li> Mejor película, Festival Internacional de Cine de Cartagena de Indias, Colombia, 2011.<br>
<li> Mejor Película, Mejor Actor, Mejor Fotografía, Festival Internacional de Cine de Guadalajara, México, 2011.<br>
<li> Mejor actor, Muestra de Cine Latinoamericano de Cataluña, 2011.<br>
<li> Mejor actriz, Rapa Nui Film Fest, Chile, 2011.<br>
<li> Mejor película, Los Ángeles Latino Internacional Film Festival (Laliff), EE.UU., 2011.<br>
<li> Mejor Interpretación Secundaria Femenina (Amparo Noguera), Mejor Montaje, Mejor Maquillaje, Premios Pedro Sienna, 2011.",778
"<li> Mejor guión, Festival Iberoamericano de Cine de Huelva, España, 2010.<br>
<li> Premio Goya 2011, Mejor Película Hispanoamericana, España, 2011.<br>
<li> Mejor Película de Ficción, Festival de Cine de Punta del Este, Uruguay, 2011.<br>
<li> Mejor director, Rapa Nui Film Fest, Chile, 2011.<br>
<li> Mejor película, Mejor director, Mejor actriz, Mejor actor, Mejor guión, Premios Altazor, Chile, 2011.<br>
<li> Mejor Guión, Festival Cinematográfico de Festroia, Portugal, 2011.<br>
<li> Mejor director, Los Ángeles Latino Internacional Film Festival (Laliff), EE.UU., 2011.<br>
<li> Mejor producción iberoamericana en 2010.<br>
<li> Mejor película, Mejor actor, Festival de Cine de Funchal, Portugal, 2011.<br>
<li> Mejor guión, Premios Pedro Sienna, 2011.",779
"<li> Mejor actriz, Festival Internacional de Cine de Cartagena de Indias, Colombia, 2011.",781
"<li> Premio François Chalais (mención honrosa), Festival Internacional de Cine de Cannes, 2010.<br>
<li> Mejor documental, Festival de Cine de Abu Dhabi, Emiratos Árabes, 2010.<br>
<li> Mejor Documental, Festival de Biarritz, Francia, 2010.<br>
<li> Mejor documental, Premios del Cine Europeo, 2010.<br>
<li> Mejor Documental, Festival Internacional de Cine de Guadajalara, México, 2011.<br>
<li> Premio Amnistía, Festival de Cine y Derechos Humanos de San Sebastián, 2011.<br>
<li> Mejor Largometraje Documental, Mejor Director, Mejor Director de Fotografía, Premios Pedro Sienna, 2011.",786
"<li> FIPRESCI de la Crítica Internacional. Rencontres Cinémas d’Amérique de Toulouse, Francia (2011).<br>
<li> Descubrimiento de la Crítica Francesa. Rencontres Cinémas d’Amérique de Toulouse, Francia (2011).<br>
<li> Premio Especial del Jurado Coup de Coeur. Rencontres Cinémas d’Amérique de Toulouse, Francia (2011).<br>
<li> Mención Honrosa. DIFF, Festival Internacional de Cine Digital de Viña del Mar, Chile (2011).<br>
<li> Mejor Visualidad. Festival de Cine B, Santiago de Chile (2010).<br>
<li> Mejor Director. Valdivia Festival Internacional de Cine, Competencia de largometrajes nacionales, Chile (2010).<br>",791
"<li> Cine en construcción, Festival Internacional de Films de San Sebastián, España, 2005.<br>
<li> Margarida de Prata 2006, Otrorgado por la CNBB - Conferencia Episcopal de Brasil.<br>
<li> Mejor dirección, Festival Internacional de Cine de Valdivia, Chile, 2006.<br>
<li> Mejor película, Festival de Internacional de Cine Latinoamericano de Biarritz, Francia.<br>
<li> Premio Especial del Jurado, Festival de Cine de Quito, Ecuador, 2006.<br>
<li> Mejor película y mejor director, Festival Internacional de Cine de Viña del Mar, Chile, 2006.<br>
<li> Mejor actor (Caio Blat), Festival de Cine de Cartagena, Colombia, 2008.<br>
<li> Premio especial del jurado, Festival Internacional del Nuevo Cine Latinoamericano de La Habana, Cuba, 2006.<br>
<li> Mejor guión, Festival Iberoamericano de Cine de Huelva, España, España, 2006.<br>",849
"<li> Mejor cortometraje internacional, Festival Internacional de Cinema Curtas, Portugal, 2010.<br>
<li> Premio Especial a Mejor Dirección Competencia Cortometrajes, Festival Internacional de Cine de Cartagena de Indias, Colombia, 2011.<br>
<li> Mejor cortometraje, Festival Internacional de Cine de Miami, Estados Unidos, 2011.<br>
<li> Mejor cortometraje, Muestra de Cine Latinoamericano de Cataluña, 2011.<br>
<li> Golden Gate, Best Narrative Short, San Francisco International Film Festival, EE.UU, 2011.",870
"<li> Mención especial, Festival Internacional de Documentales de Santiago, FIDOCS, 2010.<br>
<li> Premio especial del jurado, Festival Internacional de Cine de Viña del Mar, Chile, 2010.",888
"<li> Gran Premio Embajada de Francia, Festival Internacional de Documentales de Santiago, Fidocs, 2010.<br>
<li> Mención honorífica, International Leipzig Festival for Documentary and Animated Film, 2010.<br>
<li> Mejor Documental del Año,  ChileReality Festival de Cine Documental de Chillán, 2010.<br>
<li> Segundo Premio Coral, Festival Internacional del Nuevo Cine Latinoamericano de La Habana, 2010.<br>
<li> Premio especial Competencia Documental, Festival Internacional de Cine de Cartagena de Indias, Colombia, 2011.<br>
<li> Mejor documental, Muestra de Cine Latinoamericano de Cataluña, 2011.<br>
<li> Mejor Documental, Festival de Documentales de La Pintana, PINTACANES, 2010.<br>
<li> Premio \"Franja Dictadura y Memoria\", Festival de Cine Social y DDHH de Valparaíso, 2011.<br>
<li> Premio \"Teens&Docs\", DOCBarcelona, 2011.<br>
<li> Mención de Honor Festival de Las Américas, 2011.<br>
<li> Mejor documental, New York International Latino Film Festival, 2011.",890
"<li> Premio MovieCity, Festival Internacional de Cine de Valdivia, 2010.<br>
<li> Mejor interpretación, Festival de Cine Gay “Queer Lisboa”, Portugal, 2011.<br>
<li> Mejor película, Mejor Banda Sonora, Mejor Fotografía, Festival de Cine Chileno Quilpué, 2011.",1098
"<li> Mejor Documental, Festival de Cine In-Edit, Chile, 2010.",1170
"<li> Mejor Película Competencia Largometraje Chileno, Festival Internacional de Cine de Valdivia, Chile, 2010.",1176
"<li> Premio Especial, Festival Internacional del Nuevo Cine Latinoamericano de La Habana, 2010.",1344
"<li> Segundo premio, mejor montaje, premio especial TVN al mejor guión, Fesancor, Chile, 2008.<br>",1429
"<li> Premio Horizonte, Dok fest Munich, 2011.<br>
<li> Premio Especial del Jurado Competencia de Cine Chileno, Festival Internacional de Cine de Valdivia, 2011.",1392
"<li> Primer Premio de la Competencia Oficial de Largometrajes, Festival Internacional de Cine de Derechos Humanos DerHumALC, Argentina, 2011.<br>
<li> Mejor Largometraje, Festival de Cine y Derechos Humanos de Barcelona, España, 2011.",1171
"<li> Mejor película competencia nacional, Festival Internacional de Documentales de Santiago, 2011.<br>
<li> Mejor Largometraje Documental Nacional, Festival Internacional de Cine de Antofagasta, 2011.",1664
"<li> Mejor director, Festival Internacional de Cine Fantástico de Porto Alegre, Brasil, 2011.",782
"<li> Independent Jury Award, Festival de Cine de Locarno, 2011.",1380
"<li> Mejor película chilena, Santiago Festival Internacional de Cine, Sanfic, 2011.",1391
"<li> Mención honrosa, Santiago Festival Internacional de Cine, Sanfic, 2011.",297
"<li> Mejor director, competencia chilena, Santiago Festival Internacional de Cine, Sanfic, 2011.<br>
<li> Premio del público, Festival Internacional de Cine de Antofagasta, 2011.",1690
"<li> Premio del público, Santiago Festival Internacional de Cine, Sanfic, 2011.",1551
"<li> Premio del Público Largometraje Internacional y Premio VTR, Festival Internacional de Cine de Valdivia, 2011.",1395
"<li> Premio Especial de Jurado Largometraje Internacional, Festival Internacional de Cine de Valdivia, 2011.",1393
"<li> Mejor actriz, Mejor director, Premio de la prensa, Mejor dirección de arte, Festival de Cine Chileno Quilpué, 2011.<br>
<li> Mejor largometraje ficción, Interpretación Protagónica Femenina, Mejor Dirección de Arte, Mejor Diseño de Vestuario, Premios Pedro Sienna, 2011.",1379
"<li> Mejor montaje, Festival de Cine Chileno Quilpué, 2011.<br>
<li> Premio del público, Festival CINE//B_4, Chile, 2011.",1846
"<li> Mejor largometraje nacional, Festival CINE//B_4, Chile, 2011.",785
"<li> Mejor director, Mejor elenco, Festival CINE//B_4, Chile, 2011.<br>
<li> Mejor director, Festival Internacional de Cine de Antofagasta, 2011.",1497
"<li> Mejor Largometraje Ficción Nacional, Mejor Actor (Santiago de Aguirre), Festival Internacional de Cine de Antofagasta, 2011.",1770
"<li> Mejor Interpretación Protagónica Masculina (Martín Castillo), Mejor Interpretación Secundaria Masculina (Francisco Braithwaite), Premios Pedro Sienna, 2011. ",274
"<li> Mejor documental, Premios Cinema Tropical, 2011.",786
"<li> Premio mejor película nacional de ficción, Círculo de Críticos de Arte, 2011.",1379
"<li> Premio mejor película nacional documental, Círculo de Críticos de Arte, 2011.",786
"<li> Mejor director competencia nacional, Premio del público, Festival Internacional de Cine de Antofagasta, 2011.",1690
"<li> Gran Premio Internacional del Jurado, Festival de Cine de Sundance, Estados Unidos, 2012.",1379
"<li> Premio al Mejor Guión Dramático Internacional, Festival de Cine de Sundance, Estados Unidos, 2012.",1982
