Idcinechile,Ano,Titulo,Responsable,Monto,Tipo
,2005,¡ Pega Martín Pega !,Producciones Audiovisuales Dospasos Limitada.,,Fondart
,2005,Pinochetboys,Pinochetboys S.A.,,Fondart
2080,2005,"Caleuche, El Llamado Del Mar",Chilefilms S.A.,,Fondart
66,2005,Padre Nuestro,Producciones Audiovisuales Caco Limitada,,Fondart
148,2005,Matar A Todos,Esteban Schroeder Y Cia. Ltda.,,Fondart
,2005,Tinta Negra,Ignacio Agüero Y Asociado Limitada,,Fondart
321,2005,"""Después De La Derrota: Calle Santa Fe""",Parox S:A.,,Fondart
324,2005,La Ciudad De Los Fotógrafos,Sebastián Moreno Mardones,,Fondart
262,2005,Micro: Cuestión De Escala,Francisco Ignacio Hervé Espejo,,Fondart
127,2006,"El Cielo, La Tierra Y La Lluvia (Coprodux Chile-Francia/Rodaje 2006)",Jirafa Ltda.,56998293,Fondart
,2006,Alicahue,Patricio Javier Muñoz Guajardo,33197850,Fondart
242,2006,Turistas,La Ventura Ltda,42664206,Fondart
731,2006,Rodaje Mi Vida Con Carlos,Cinedirecto Producciones Limitada,35909738,Fondart
,2006,Diego Y Glot Contra La Corporacion,Claudio Kretzberger & Cia Ltd,56302716,Fondart
,2006,Circo,Producciones Audiovisuales Y Gastronómicas Ideas El Asombro Ltda.,58651494,Fondart
147,2006,La Buena Vida,Andres Wood Producciones S.A.,57000000,Fondart
135,2006,El Regalo,Producciones Audiovisuales Delirio Films Limitada,56136699,Fondart
345,2006,"""A Un Metro De Ti"" ",Rates Soriano Ltda.,56772705,Fondart
52,2006,Casa De Remolienda,Cinembargo Comunicaciones Cine Television Ltda.,38000000,Fondart
2224,2006,La Última Estación,Catalina Vergara Arthur,31074913,Fondart
,2006,Huireros,Oscar Antonio Fernández García,8414357,Fondart
154,2006,"""Alicia En El País""",Esteban Ambrosio Larrain Roa,35999995,Fondart
1171,2007,Newen Mapu Che,Productora Cinematografica Ojofilm Sociedad Varela Cerda Ltda,52929710,Fondart
244,2007,"""Ilusiones Ópticas""",Productora Retaguardia Films Ltda,87727177,Fondart
245,2007,Huacho ,Jirafa Ltda.,108465654,Fondart
361,2007,Desde El Corazón,Valdivia Film S.A.,112316338,Fondart
128,2007," ""Secretos""",Suricato,111112153,Fondart
70,2007,Navidad,Producciones Hora Magica Limitada,124346215,Fondart
1664,2007,Hija,Parox Sociedad Anónima,31411118,Fondart
55,2007,La Vida Me Mata,Asesorias Y Producciones Fabula Limitada,41216600,Fondart
,2007,Sudamerican Rockers,Mc Films S.A.,74930651,Fondart
,2007,"Alicia En El País, En Los Mejores Cines.",Esteban Larraín Roa Servicios Audiovisuales E.I.R.L.,50000000,Fondart
1393,2007," ""El Circuito De Román""",Producciones Audiovisuales A Escala Humana Ltda.,83927526,Fondart
,2007,Postproduccion Mi Vida Con Carlos,Cinedirecto Producciones Limitada,44999280,Fondart
108,2007,Isla 10 Coproduccion,Azul Films S.A.,135000000,Fondart
,2007,Salvador,Fernando Valenzuela Y Cia. Ltda.,49962307,Fondart
792,2007,La Lección De Pintura,Perelman Y Del Rio Producciones Cinematográficas Ltda,74989191,Fondart
,2007,Un Nombre Para Ana,Antonia Rossi Charnes,34798111,Fondart
482,2007,Tiempos Malos,Tiburon Producciones S.A.,74473043,Fondart
1200,2008,Abuelos,Carla Valencia Davila,41922868,Fondart
1391,2008,Sindrome De Ulises,Asesorias Y Producciones Fabula Limitada,149464840,Fondart
,2008,Un Nombre Para Ana,Productora Audiovisual,29753662,Fondart
778,2008,Post Mortem,Asesorías Y Producciones Fabula Limitada,124571200,Fondart
,2008,Post Produccion Turistas,Producciones Play Ltda.,34929400,Fondart
1098,2008,Mi Ultimo Round,Producciones Cinematograficas Umana Limitada,125000000,Fondart
785,2008,La Muerte De Pinochet,Perut + Osnovikoff Limitada,27329776,Fondart
1717,2008,Posproducción Documental Mapocho,Mar Humano Producciones Audiovisuales Eirl,30000000,Fondart
1551,2008,Locasmujeres,Igenio Visual S.A.,42498467,Fondart
2037,2008,"Selkirk, La Verdadera Historia De Robinson Crusoe",Cineanimadores S.A.,118093088,Fondart
51,2008,Yo Soy Teresa Wilms,Gaviola Y García Producciones De Cine Y Televisión Ltda,49999783,Fondart
779,2008,La Vida De Los Peces,Ceneca Producciones Ltda.,116000000,Fondart
,2008,"Documental ""D-22, Alamar"" - Postproducción",Macarena Aguiló Marchi,49214393,Fondart
,2008,A Orillas De La Ciudad,Patricia Andrea Bustos Peñafiel,37925026,Fondart
2897,2008,Genoveva,Paola Alejandra Castillo Villagran,62854357,Fondart
3085,2008,"Documental ""Cuando Respiro""",Maria Isabel (Coti) Donoso Urrutia,25443140,Fondart
1344,2009,El Tesoro De America- El Oro De Pascua Lama,Alter Producciones Audiovisuales Limitada,74452386,Fondart
2168,2009,"El Futuro",Producciones Play Ltda.,125000000,Fondart
1982,2009,Joven Y Alocada,Asesorias Y Producciones Fabula Limitada,124559200,Fondart
,2009,"Sin Alma","Barril, Moreno Y Cia. Ltda.",82989000,Fondart
1496,2009,"Sentados Frente Al Fuego",Servicios Audiovisuales Limitada El Remanso Cine Ltda,115009775,Fondart
1382,2009,Sal,Picardía Films Producciones Ltda.,123000000,Fondart
3021,2009,"La Otra Cara De La Moneda, La Búsqueda De Mi Abuelo Allende  ",Errante Producciones Limitada ,69744428,Fondart
1379,2009,"Violeta, Se Fue A Los Cielos",Andres Wood Producciones S.A.,138315000,Fondart
,2009,"Rodaje Y Postproducción ""Sybila""",Lupe Films E.I.R.L.,63504116,Fondart
1377,2009,La Virgen De Peñablanca,Piranha Films Eirl,115262500,Fondart
343,2009,Noticias,Perut + Osnovikoff Limitada,12615100,Fondart
1709,2009,"Alguién Ha Visto A Lupita",Sahara Films Producciones S.A.,149709192,Fondart
789,2009,Ojos Rojos,Juan Ignacio Sabatini Mujica,45029669,Fondart
1192,2009,El Gran Circo Pobre De Timoteo,Lorena Alejandra Giachino Torréns,63542453,Fondart
1378,2010,"Bonsai",Producción Y Distribución De Cine Jirafa Limitada,125000000,Fondart
2475,2010,"El Verano De Los Peces Voladores",Producción Y Distribución De Cine Jirafa Limitada,150000000,Fondart
,2010,Inmediat Santiago,Cornucopia Producciones Audiovisuales,75980989,Fondart
,2010,"Parasang",Cristóbal Vicente Cruz,24574455,Fondart
2108,2010,Pena De Muerte,Alvaro (Tevo) Rafael Germán Díaz Ramírez,59570808,Fondart
1497,2010,Verano,Producciones Play Ltda. (O La Ventura Ltda.),93780166,Fondart
,2010,De Jueves A Domingo,Producciones Audiovisuales Forastero Ltda.,130352975,Fondart
,2010,Perdón Mamá,Muchas Gracias Ltda.,124911206,Fondart
,2010,Geometría Y Misterio,Ignacio Agüero Y Asociado,88542373,Fondart
90,2010,"Ausente",Promocine Ltda.,49626295,Fondart
791,2010,Lucía,Niles Jamil Atallah Gonsalves,27778757,Fondart
2609,2010,Las Huellas Del Chaitén,Iván Tziboulka Kirilov,42050255,Fondart
2242,2010,74 Metros Cuadrados,María Soledad Silva Abranetto,49550535,Fondart
2340,2010,Inhabitable,Jaime Marcelo Díaz Lavanchy ,70613969,Fondart
3458,2010,Venían A Buscarme,Alvaro De La Barra Puga,89134926,Fondart
753,2010,Mitómana,Paola Andrea Lattus Ramos,49958013,Fondart
2254,2010,Isidora Aguirre : Doy Por Vivido Todo Lo Soñado. Largometraje Documental. ,Gilberto Antonio Villarroel Escobar,90000015,Fondart
,2011,"Dos Disparos","Bruno, Bettati Salvo ",63331043,Fondart
3061,2011,Surire ,"Perut + Osnovikoff Limitada,   ",57352398,Fondart
1170,2011,Electrodomesticos ,"Proyecta Producciones,   ",18111914,Fondart
274,2011,Te Creís La Más Linda... (Pero Me Cagaste La Vida) ,"Productora Audiovisual Don Quijote Films Ltda.,   ",84875329,Fondart
3169,2011,Postproducción Documental Salam ,"Productora Audiovisual Don Quijote Films Limitada,   ",19997925,Fondart
,2011,Tu Nombre Me Sabe A Hierba ,Zetra Comunicaciones S.A.,150000000,Fondart
2053,2011,Carne De Perro ,"Ceneca Producciones,   ",90000000,Fondart
2788,2011,Romance Policial ,"Centro Cultural Antumapu,   ",112605788,Fondart
2715,2011,Matar A Un Hombre ,"Servicios Audiovisuales Limitada,   ",153000000,Fondart
482,2011,Tiempos Malos ,"Nómada Producciones E.I.R.L.,   ",24301573,Fondart
,2011,"Metro Cuadrado ","Las Nenas Gestión Y Producción Cultural,   ",9980468,Fondart
,2011,El Deber De La Sonrisa ,"Azul Producciones S.A.,   ",74012981,Fondart
3316,2011,"La Ciudad De Los Césares","Servicios Audiovisuales Francisco Hervé Espejo Eirl,   ",80585690,Fondart
2048,2011,La Noche De Enfrente ,"Suricato E.I.R.L,   ",152783814,Fondart
1380,2011,El Año Del Tigre ,"Lelio Y Maza Limitada,   ",25000000,Fondart
2094,2011,No ,"Asesorias Y Producciones Fabula Limitada,   ",153000000,Fondart
,2011,En Beneficio Propio ,Zoofilms Y Multimedios Producciones Ltda ,76400885,Fondart
3126,2011,Atrapados En Japon,"Vivienne Barry Animacion Producciones Audiovisuales E.I.R.L,   ",81224168,Fondart
2760,2012,"We Are Sudamerican Beats,La Historia Del Movimiento Electronico En Chile",Trebol 3 Producciones Ltda,81297587,Fondart
2861,2012,Vacaciones En Familia,Producciones El Paseodigital Limitada,101954862,Fondart
2580,2012,Las Analfabetas - Post Producción,Planta Producciones Limitada,30820894,Fondart
2837,2012,R. Lorena,Forastero Producciones Audiovisuales Limitada,96136371,Fondart
,2012,Sentido Común,Asesorías Y Producciones Fabula Limitada,148000000,Fondart
2335,2012,Rosita: La Amante Del Führer,Carnada Films Eirl,35469845,Fondart
,2012,Circo,Alce Producciones Sa,48761696,Fondart
3009,2012,El Bosque ,Productora Ocio Limitada,157250000,Fondart
,2012,El Ojo Del Gato,Productora Atiempo Ltda.,145907200,Fondart
2870,2012,La Visita,Gutierrez Y Rojas Producciones Limitada,152317253,Fondart
,2012,Puerto Viejo,Agencia De Com. Y Productora C Comunica Ltda.,148295563,Fondart
,2012,"Lautaro Eden, Un Heroe Invisible",Comercial Pablo Cortes Santander,58442375,Fondart
2678,2012,Brillantes,Kuku Films Audiovisual S.A.,162000000,Fondart
3419,2012,Shadow Girl,María Teresa Larrain Navarro Producciones,57900000,Fondart
,2012,Cuadernos Del Subsuelo,Alter Producciones Audiovisuales,33200000,Fondart
,2012,Los Elementales,Olguinfilms,119076433,Fondart
2741,2012,Mapa Filmico De Un País,Christopher   Murray García,29996156,Fondart
2564,2012,Puertas Adentro,Gonzalo  Díaz Ugarte,26592252,Fondart
3309,2012,"Documental ""Agua Turbia""",Cristóbal Azócar Mira,29583664,Fondart
75,2006,En La Cama,Bazuca Films Ltda,14277947,Corfo
62,2006,Fuga,Distribuidora Mc Films S.A.,14338962,Corfo
64,2006,La Sagrada Familia,Productora Horamagica Ltda,14335831,Corfo
63,2006,Kiltro,Chilechita Producciones E Inversiones Ltda,14314700,Corfo
,2006,Vernissage,Productora Retaguardia Films Ltda,1303678,Corfo
2781,2006,12 Minutos,Productora Retaguardia Films Ltda,1303678,Corfo
,2006,Llorando Debajo Del Agua,Productora Retaguardia Films Ltda,1303678,Corfo
339,2006,Obreras Saliendo De La Fabrica,Productora Retaguardia Films Ltda,1303678,Corfo
,2006,Lobos,Productora Retaguardia Films Ltda,1303678,Corfo
60,2006,El Rey De Los Huevones,Chilechita Producciones E Inversiones Ltda,14521120,Corfo
66,2006,Padre Nuestro,Producciones Audiovisuales Caco Ltda,14580000,Corfo
54,2006,El Magnifico,Terranova Producciones Ltda,2532500,Corfo
136,2006,Welcome To New York,P+O Ltda,2191944,Corfo
641,2006,"La Hija Del General, Michelle Bachelet",Andres Wood Producciones S.A.,3679000,Corfo
61,2006,El Rey De San Gegorio,Bazuca Films Ltda,13991086,Corfo
289,2007,Opus Dei,Marcela Said,2255000,Corfo
53,2007,El Asesino Entre Nosostros,Jirafa Ltda,2712761,Corfo
52,2007,Casa De Remolienda,Cinembargo Comunicaciones Cine Y Tv Ltda,14454350,Corfo
1811,2007,Monogamo Sucesivo,Portal Basualto Ltda,4411670,Corfo
324,2007,La Ciudad De Los Fotografos,"Barril, Moreno Y Cia Ltda",3765949,Corfo
396,2007,"Reinalda Del Carmen, Mi Mama Y Yo",Errante Producciones Ltda,4515421,Corfo
299,2007,Normal Con Alas,Comercializadora Bf Ltda.,14875000,Corfo
59,2007,Radio Corazón,Producciones Audiovisuales Pueblo Ltda,16000000,Corfo
55,2007,La Vida Me Mata,Asesorias Y Producciones Fabula Ltda,15250000,Corfo
125,2007,Chile Puede,Chile Puede Producciones Ltda,15804231,Corfo
56,2007,Fiesta Patria,Los Filmes De Arcadia Ltda,9743675,Corfo
148,2008,Matar A Todos,Los Filmes De Arcadia,12900000,Corfo
126,2008,Desierto Sur,Comercializadora Bf Ltda.,13865000,Corfo
145,2008,El Brindis,Bf Distribution Ltda.,11680000,Corfo
147,2008,La Buena Vida,Wood Producciones,14937500,Corfo
149,2008,Raza Brava,Los Filmes De Arcadia Ltda.,9280000,Corfo
152,2008,199 Recetas Para Ser Feliz,Retaguardia Films,14500000,Corfo
154,2008,Alicia En El Pais,Mc Films S.A.,8990630,Corfo
135,2008,El Regalo,Producciones Audiovisuales Delirio Films Ltda.,14150000,Corfo
127,2008,"El Cielo, La Tierra Y La Lluvia",Mc Films,10000000,Corfo
130,2008,Muñeca,Bf Distribution Ltda.,14550000,Corfo
48,2008,Seis,Productora Claroscuro Ltda.,3476204,Corfo
150,2008,Héroes Frágiles ,Klan Producción S.A.,2426760,Corfo
144,2008,1973 Revoluciones Por Minuto,Fernando Valenzuela Y Cía Ltda,5488100,Corfo
132,2008,Mirageman,Comercializadora Bf Ltda (Bf Ltda),14728555,Corfo
140,2008,Lokas,Cinecorp Ltda,15000000,Corfo
139,2008,Lo Bueno De Llorar,Quality Films S.A,15000000,Corfo
123,2008,31 Minutos La Pelicula,Mc Films S.A.,14114865,Corfo
849,2008,Prohibido Prohibir,Los Filmes De Arcadia,9650000,Corfo
141,2008,Tony Manero,Asesorias Y Producciones Fabula Ltda,15316667,Corfo
70,2009,Navidad,Producciones Hora Mágica Ltda,14830000,Corfo
49,2009,Grado 3,Comercializadora Bf Ltda,14999168,Corfo
51,2009,Teresa,Gaviola Y García Ltda.,14233000,Corfo
253,2009,All Inclusive,Jazz Films Producciones S.A,12250000,Corfo
108,2009,Dawson Isla 10,Azul Films S.A,13850000,Corfo
242,2009,Turistas,Bf Distribution,11941400,Corfo
94,2009,Retrato De Un Antipoeta,Bf Distribution,4841120,Corfo
